i=0; b,a->ab; size_dict={'a': 2, 'b': 2};
i=584; abdceca,abdcf->def; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 3, 'e': 9, 'f': 3};
i=585; dcacf,befc->bde; size_dict={'a': 6, 'b': 6, 'c': 5, 'd': 2, 'e': 2, 'f': 2};
i=586; gfbeac,hecd->dcgabh; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 4, 'f': 3, 'g': 2, 'h': 2};
i=587; befc,dbafg->edag; size_dict={'a': 3, 'b': 4, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 3};
i=588; fadc,ebfa->dceb; size_dict={'a': 2, 'b': 2, 'c': 6, 'd': 13, 'e': 2, 'f': 2};
i=589; ,ab->a; size_dict={'a': 22, 'b': 65};
i=590; bbc,ab->a; size_dict={'a': 19, 'b': 3, 'c': 25};
i=591; baf,debcb->acedf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 9, 'e': 5, 'f': 4};
i=592; bad,acb->cd; size_dict={'a': 7, 'b': 7, 'c': 5, 'd': 5};
i=593; ae,becdbf->bfcda; size_dict={'a': 2, 'b': 2, 'c': 8, 'd': 2, 'e': 9, 'f': 2};
i=594; bac,->bca; size_dict={'a': 7, 'b': 11, 'c': 18};
i=595; ,acb->bca; size_dict={'a': 14, 'b': 6, 'c': 16};
i=596; abd,ceb->ecda; size_dict={'a': 4, 'b': 2, 'c': 10, 'd': 9, 'e': 2};
i=597; cgfadh,ifhcfabbeg->bide; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3};
i=598; bac,aacb->c; size_dict={'a': 2, 'b': 25, 'c': 27};
i=599; ichabg,idgbacef->fhde; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=600; becgfah,hcabd->dheg; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 3, 'e': 4, 'f': 2, 'g': 2, 'h': 2};
i=601; acd,ba->cdb; size_dict={'a': 13, 'b': 4, 'c': 5, 'd': 5};
i=602; abdd,feacb->ebd; size_dict={'a': 2, 'b': 7, 'c': 6, 'd': 2, 'e': 4, 'f': 2};
i=603; bcfe,afd->beca; size_dict={'a': 9, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 5};
i=604; ghbddgfea,hceagd->fcb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 6, 'f': 2, 'g': 2, 'h': 2};
i=605; fdaeb,bdcf->cae; size_dict={'a': 4, 'b': 3, 'c': 2, 'd': 5, 'e': 2, 'f': 5};
i=606; cjgiadhfe,edfjbh->hbgicaf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=607; cad,bac->dbc; size_dict={'a': 30, 'b': 3, 'c': 2, 'd': 8};
i=608; d,dcab->abc; size_dict={'a': 2, 'b': 5, 'c': 44, 'd': 3};
i=609; aec,fdbc->afdbec; size_dict={'a': 4, 'b': 5, 'c': 4, 'd': 4, 'e': 2, 'f': 2};
i=610; bac,dcba->d; size_dict={'a': 9, 'b': 10, 'c': 5, 'd': 3};
i=611; ab,bcc->ca; size_dict={'a': 4, 'b': 5, 'c': 58};
i=612; abcd,dbe->aec; size_dict={'a': 2, 'b': 2, 'c': 12, 'd': 14, 'e': 2};
i=613; dcbcgfa,fgce->bad; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 6, 'e': 2, 'f': 2, 'g': 6};
i=614; acbdde,eb->cead; size_dict={'a': 3, 'b': 6, 'c': 2, 'd': 12, 'e': 3};
i=615; egabfd,fac->bged; size_dict={'a': 2, 'b': 12, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 2};
i=616; bfhecd,ehcgaf->hadg; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 4};
i=617; cehf,gbdha->edbfagc; size_dict={'a': 2, 'b': 9, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=618; dbecghg,bahefd->gcfabd; size_dict={'a': 3, 'b': 3, 'c': 3, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2};
i=619; fhcbg,hgade->dbcaef; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 3, 'h': 2};
i=620; bcd,dea->ace; size_dict={'a': 10, 'b': 2, 'c': 5, 'd': 4, 'e': 3};
i=621; dedbcaf,ec->eabdfc; size_dict={'a': 6, 'b': 2, 'c': 3, 'd': 2, 'e': 4, 'f': 5};
i=622; adcb,abcd->; size_dict={'a': 2, 'b': 34, 'c': 2, 'd': 8};
i=623; iaagjddef,bichfac->ebdjcahg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=624; ba,c->bca; size_dict={'a': 15, 'b': 2, 'c': 68};
i=625; da,cab->db; size_dict={'a': 2, 'b': 5, 'c': 15, 'd': 13};
i=626; dab,beac->ecdb; size_dict={'a': 3, 'b': 9, 'c': 6, 'd': 2, 'e': 6};
i=627; abdcfg,edb->ecgda; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 8, 'e': 2, 'f': 2, 'g': 4};
i=628; ce,aeedcb->bd; size_dict={'a': 9, 'b': 2, 'c': 3, 'd': 9, 'e': 4};
i=629; bdfc,abdfe->ec; size_dict={'a': 2, 'b': 3, 'c': 6, 'd': 2, 'e': 2, 'f': 14};
i=630; cgabfaiejd,jh->gabcifdhe; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=631; bcd,ead->eacd; size_dict={'a': 3, 'b': 7, 'c': 8, 'd': 2, 'e': 5};
i=632; iegh,dfecab->bhcdfg; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 2};
i=633; abc,dca->dbc; size_dict={'a': 2, 'b': 23, 'c': 21, 'd': 2};
i=634; effag,bfdc->ebcagd; size_dict={'a': 2, 'b': 2, 'c': 4, 'd': 5, 'e': 3, 'f': 2, 'g': 4};
i=635; cd,aecb->daeb; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 80};
i=636; ecabd,gcdf->fageb; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 4, 'e': 2, 'f': 5, 'g': 3};
i=637; ihcbedf,gga->ihafec; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 3, 'f': 3, 'g': 2, 'h': 2, 'i': 2};
i=638; a,bc->cab; size_dict={'a': 3, 'b': 3, 'c': 180};
i=639; efagh,bfacgd->cdefb; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 3, 'f': 3, 'g': 2, 'h': 4};
i=640; cbd,bea->aceb; size_dict={'a': 2, 'b': 6, 'c': 10, 'd': 8, 'e': 2};
i=641; eafbg,acebd->afgc; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 4, 'e': 2, 'f': 3, 'g': 4};
i=642; eghcadb,chgedbf->dhaf; size_dict={'a': 4, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 5, 'g': 2, 'h': 2};
i=643; dcab,aa->cbd; size_dict={'a': 3, 'b': 3, 'c': 7, 'd': 28};
i=644; ehgfbdac,dcegbafh->fc; size_dict={'a': 4, 'b': 3, 'c': 2, 'd': 3, 'e': 3, 'f': 2, 'g': 2, 'h': 2};
i=645; fbceg,dbaf->agdc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 4, 'f': 4, 'g': 7};
i=646; abdc,cbd->da; size_dict={'a': 5, 'b': 10, 'c': 11, 'd': 3};
i=647; hbefda,fgcdb->hcaefg; size_dict={'a': 2, 'b': 2, 'c': 7, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 4};
i=648; hdjafa,abgedfic->beifjhg; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=649; haebifc,gehdfc->aidb; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 5, 'h': 2, 'i': 2};
i=650; eafcd,aefcbd->b; size_dict={'a': 2, 'b': 7, 'c': 5, 'd': 3, 'e': 2, 'f': 4};
i=651; adbc,dcb->abc; size_dict={'a': 21, 'b': 2, 'c': 4, 'd': 9};
i=652; bcfehd,egab->cedagfhb; size_dict={'a': 2, 'b': 2, 'c': 10, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2};
i=653; dbad,cdc->cab; size_dict={'a': 4, 'b': 22, 'c': 4, 'd': 5};
i=654; de,beca->dbc; size_dict={'a': 10, 'b': 7, 'c': 3, 'd': 3, 'e': 3};
i=655; dabe,fcef->fcdab; size_dict={'a': 2, 'b': 4, 'c': 3, 'd': 7, 'e': 6, 'f': 2};
i=656; aabb,a->b; size_dict={'a': 2, 'b': 978};
i=657; cbda,a->dc; size_dict={'a': 5, 'b': 5, 'c': 5, 'd': 15};
i=658; edcgafg,acebf->dfgb; size_dict={'a': 2, 'b': 9, 'c': 2, 'd': 6, 'e': 2, 'f': 2, 'g': 2};
i=659; aecc,abcde->dcb; size_dict={'a': 2, 'b': 12, 'c': 2, 'd': 7, 'e': 6};
i=660; adcb,db->cbda; size_dict={'a': 26, 'b': 2, 'c': 19, 'd': 2};
i=661; ecab,cedd->abd; size_dict={'a': 3, 'b': 2, 'c': 15, 'd': 11, 'e': 2};
i=662; fgbca,bdcea->dfge; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 6, 'e': 2, 'f': 2, 'g': 5};
i=663; abc,dba->dc; size_dict={'a': 5, 'b': 2, 'c': 39, 'd': 5};
i=664; ab,cd->cbad; size_dict={'a': 6, 'b': 3, 'c': 3, 'd': 43};
i=665; ad,acebe->baec; size_dict={'a': 8, 'b': 8, 'c': 7, 'd': 3, 'e': 2};
i=666; bdca,d->acb; size_dict={'a': 2, 'b': 11, 'c': 64, 'd': 2};
i=667; cafe,badbf->cdbe; size_dict={'a': 2, 'b': 2, 'c': 11, 'd': 2, 'e': 2, 'f': 15};
i=668; gebjdi,dfcajh->igcefha; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 3, 'j': 2};
i=669; aegfcd,ebagc->dfbc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 9, 'f': 10, 'g': 2};
i=670; cbd,dbcba->dac; size_dict={'a': 15, 'b': 8, 'c': 2, 'd': 11};
i=671; b,bca->ca; size_dict={'a': 41, 'b': 3, 'c': 22};
i=672; abc,b->a; size_dict={'a': 18, 'b': 19, 'c': 8};
i=673; bacf,baedf->dce; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 7, 'e': 7, 'f': 5};
i=674; hcegabfdi,dhbcebgi->fb; size_dict={'a': 2, 'b': 6, 'c': 2, 'd': 2, 'e': 3, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=675; bc,cad->adb; size_dict={'a': 2, 'b': 24, 'c': 2, 'd': 28};
i=676; cbde,bcafd->fedca; size_dict={'a': 12, 'b': 14, 'c': 2, 'd': 2, 'e': 2, 'f': 2};
i=677; adb,acb->d; size_dict={'a': 29, 'b': 3, 'c': 4, 'd': 8};
i=678; iegfbadh,gidcahef->bice; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 2};
i=679; fgd,ceiabhj->dcfehjaib; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 2, 'j': 3};
i=680; gceah,bfgedha->bdfc; size_dict={'a': 4, 'b': 2, 'c': 3, 'd': 2, 'e': 3, 'f': 3, 'g': 2, 'h': 3};
i=681; aifjc,dhagibeh->cgfejhdi; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2};
i=682; fedc,cbda->fbae; size_dict={'a': 11, 'b': 2, 'c': 2, 'd': 13, 'e': 2, 'f': 2};
i=683; cfbe,da->dfbcea; size_dict={'a': 3, 'b': 3, 'c': 16, 'd': 2, 'e': 2, 'f': 5};
i=684; fcab,ebdfa->decb; size_dict={'a': 2, 'b': 3, 'c': 5, 'd': 2, 'e': 9, 'f': 5};
i=685; aibcghejdf,bhfc->ghedaj; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 3, 'h': 2, 'i': 2, 'j': 2};
i=686; acd,cfadbe->aebcf; size_dict={'a': 2, 'b': 19, 'c': 2, 'd': 9, 'e': 2, 'f': 2};
i=687; jgcheied,hgbicfad->ajebd; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 2, 'j': 2};
i=688; cab,bac->b; size_dict={'a': 8, 'b': 179, 'c': 2};
i=689; dbae,ac->dec; size_dict={'a': 5, 'b': 6, 'c': 6, 'd': 7, 'e': 2};
i=690; debac,gfcb->cfda; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 3, 'e': 4, 'f': 3, 'g': 4};
i=691; fcd,bdae->befa; size_dict={'a': 2, 'b': 9, 'c': 4, 'd': 2, 'e': 8, 'f': 2};
i=692; cd,bead->aec; size_dict={'a': 3, 'b': 7, 'c': 2, 'd': 13, 'e': 5};
i=693; dba,dc->abc; size_dict={'a': 8, 'b': 2, 'c': 23, 'd': 6};
i=694; ecdab,e->cbd; size_dict={'a': 48, 'b': 2, 'c': 3, 'd': 2, 'e': 5};
i=695; bceda,dbfc->dea; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 8, 'e': 3, 'f': 8};
i=696; dacbe,fcgabe->dgb; size_dict={'a': 3, 'b': 2, 'c': 3, 'd': 4, 'e': 4, 'f': 5, 'g': 2};
i=697; cbfbgade,hbdgbci->aifegh; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 3, 'g': 3, 'h': 2, 'i': 2};
i=698; eba,abcde->dc; size_dict={'a': 2, 'b': 15, 'c': 4, 'd': 2, 'e': 12};
i=699; ab,ac->bc; size_dict={'a': 13, 'b': 39, 'c': 5};
i=700; c,adb->adcb; size_dict={'a': 3, 'b': 4, 'c': 13, 'd': 15};
i=701; ebd,bace->cda; size_dict={'a': 6, 'b': 5, 'c': 14, 'd': 3, 'e': 2};
i=702; giekc,habjdifk->fbecgdjh; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=703; e,abcde->dabc; size_dict={'a': 2, 'b': 17, 'c': 2, 'd': 11, 'e': 3};
i=704; ad,bcca->bdc; size_dict={'a': 8, 'b': 16, 'c': 2, 'd': 11};
i=705; bb,ba->a; size_dict={'a': 31, 'b': 93};
i=706; aeadcdf,becc->dab; size_dict={'a': 2, 'b': 11, 'c': 2, 'd': 5, 'e': 2, 'f': 6};
i=707; ggfdebac,bgfe->cdfa; size_dict={'a': 2, 'b': 7, 'c': 2, 'd': 5, 'e': 2, 'f': 6, 'g': 2};
i=708; hdcf,gaeehcfb->bdaeg; size_dict={'a': 4, 'b': 4, 'c': 3, 'd': 2, 'e': 2, 'f': 4, 'g': 2, 'h': 2};
i=709; cad,dcb->ba; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 310};
i=710; bc,abb->cab; size_dict={'a': 32, 'b': 19, 'c': 6};
i=711; cba,ac->b; size_dict={'a': 3, 'b': 100, 'c': 12};
i=712; dabfig,ibeicgch->dfch; size_dict={'a': 5, 'b': 2, 'c': 2, 'd': 2, 'e': 6, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=713; cdgab,fdagcde->gbfe; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 13};
i=714; jefihigc,bhadejc->gbida; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 3, 'j': 2};
i=715; idcgdb,ahjdfegb->caiebhf; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 4, 'h': 2, 'i': 2, 'j': 2};
i=716; edabcg,fedd->afebc; size_dict={'a': 5, 'b': 4, 'c': 3, 'd': 7, 'e': 2, 'f': 2, 'g': 2};
i=717; egcdfa,dgb->eafcb; size_dict={'a': 5, 'b': 5, 'c': 2, 'd': 2, 'e': 4, 'f': 5, 'g': 2};
i=718; gahbedf,dhfeacihj->ahjgbi; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 2, 'h': 2, 'i': 4, 'j': 2};
i=719; ceae,bfdcega->bedfg; size_dict={'a': 14, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 6, 'g': 2};
i=720; caa,cb->ab; size_dict={'a': 3, 'b': 113, 'c': 11};
i=721; ceba,bdb->dcea; size_dict={'a': 9, 'b': 2, 'c': 5, 'd': 6, 'e': 6};
i=722; ,dceba->aedbc; size_dict={'a': 9, 'b': 12, 'c': 6, 'd': 2, 'e': 3};
i=723; ced,caeb->bad; size_dict={'a': 6, 'b': 10, 'c': 2, 'd': 17, 'e': 2};
i=724; cb,ad->ca; size_dict={'a': 23, 'b': 2, 'c': 8, 'd': 8};
i=725; daidgehc,ehafbdi->gficb; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 3, 'e': 5, 'f': 2, 'g': 2, 'h': 2, 'i': 2};
i=726; bc,ba->bca; size_dict={'a': 24, 'b': 13, 'c': 13};
i=727; cba,da->cd; size_dict={'a': 14, 'b': 11, 'c': 13, 'd': 2};
i=728; ebf,abcded->fdc; size_dict={'a': 19, 'b': 7, 'c': 2, 'd': 3, 'e': 2, 'f': 2};
i=729; gbfdae,cbhb->gdhcae; size_dict={'a': 2, 'b': 5, 'c': 2, 'd': 6, 'e': 2, 'f': 4, 'g': 2, 'h': 2};
i=730; ac,bc->ab; size_dict={'a': 13, 'b': 26, 'c': 12};
i=731; eaad,bafced->bcf; size_dict={'a': 12, 'b': 11, 'c': 2, 'd': 2, 'e': 2, 'f': 3};
i=732; cheeda,baicfg->fheib; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 2, 'h': 5, 'i': 2};
i=733; ab,bcad->cdb; size_dict={'a': 21, 'b': 16, 'c': 6, 'd': 2};
i=734; hkaf,bdicgehja->jdekgibcf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 4, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=735; ea,abcd->cdbe; size_dict={'a': 13, 'b': 2, 'c': 14, 'd': 5, 'e': 2};
i=736; gbce,fabdh->hdcfega; size_dict={'a': 2, 'b': 5, 'c': 3, 'd': 2, 'e': 2, 'f': 4, 'g': 2, 'h': 4};
i=737; a,bdca->cdba; size_dict={'a': 2, 'b': 203, 'c': 2, 'd': 5};
i=738; acbd,ad->abc; size_dict={'a': 2, 'b': 56, 'c': 2, 'd': 17};
i=739; cdba,dd->bc; size_dict={'a': 9, 'b': 4, 'c': 3, 'd': 33};
i=740; cbab,ac->b; size_dict={'a': 16, 'b': 14, 'c': 17};
i=741; acedd,edb->adec; size_dict={'a': 2, 'b': 15, 'c': 4, 'd': 2, 'e': 12};
i=742; kgahecdji,gjdcfekbh->jikbafc; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=743; fahcigd,eiabch->egbf; size_dict={'a': 2, 'b': 3, 'c': 2, 'd': 2, 'e': 6, 'f': 3, 'g': 2, 'h': 2, 'i': 2};
i=744; ca,bd->bca; size_dict={'a': 20, 'b': 9, 'c': 2, 'd': 11};
i=745; bhde,hcdegafb->eacfg; size_dict={'a': 2, 'b': 5, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 5};
i=746; fdhcbeafg,caegfhif->dihca; size_dict={'a': 4, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 5};
i=747; hjeiabdf,dbjgceb->hficjga; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 3, 'j': 2};
i=748; dcjiabh,bcfgde->hcajegdif; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 2, 'j': 2};
i=749; ffdeg,abc->deacbf; size_dict={'a': 2, 'b': 3, 'c': 3, 'd': 4, 'e': 12, 'f': 2, 'g': 2};
i=750; cb,abcd->bda; size_dict={'a': 3, 'b': 12, 'c': 49, 'd': 2};
i=751; b,ab->; size_dict={'a': 45, 'b': 90};
i=752; bac,db->acd; size_dict={'a': 9, 'b': 18, 'c': 9, 'd': 3};
i=753; dcgah,gefb->dbafc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 3, 'g': 6, 'h': 6};
i=754; bca,cdb->da; size_dict={'a': 210, 'b': 6, 'c': 2, 'd': 2};
i=755; gahfbe,hdegdc->afch; size_dict={'a': 2, 'b': 7, 'c': 2, 'd': 2, 'e': 2, 'f': 3, 'g': 8, 'h': 2};
i=756; cdaf,ecab->feba; size_dict={'a': 4, 'b': 2, 'c': 4, 'd': 9, 'e': 9, 'f': 2};
i=757; fcifedab,cadgh->hefgb; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 7, 'e': 2, 'f': 2, 'g': 2, 'h': 3, 'i': 2};
i=758; cba,bab->ca; size_dict={'a': 75, 'b': 11, 'c': 7};
i=759; ac,b->cab; size_dict={'a': 2, 'b': 1262, 'c': 2};
i=760; fhch,gaecdhb->gbcafde; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 13, 'e': 3, 'f': 2, 'g': 4, 'h': 2};
i=761; ,bbcaed->daceb; size_dict={'a': 13, 'b': 2, 'c': 26, 'd': 4, 'e': 2};
i=762; chbga,hiidef->iegfcdb; size_dict={'a': 4, 'b': 2, 'c': 3, 'd': 3, 'e': 3, 'f': 2, 'g': 2, 'h': 3, 'i': 2};
i=763; eicfhadj,gkbced->jkhiabfg; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 4};
i=764; cdgebhf,fdaegbf->ah; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 2, 'e': 2, 'f': 8, 'g': 2, 'h': 7};
i=765; bfedc,cae->edbcf; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 11, 'e': 3, 'f': 21};
i=766; abc,bbc->cba; size_dict={'a': 4, 'b': 235, 'c': 6};
i=767; ahdgcfb,hebdfae->cefg; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 4, 'e': 2, 'f': 3, 'g': 4, 'h': 4};
i=768; c,acb->acb; size_dict={'a': 150, 'b': 18, 'c': 2};
i=769; aedb,decb->a; size_dict={'a': 9, 'b': 2, 'c': 2, 'd': 49, 'e': 3};
i=770; eafc,cbefd->adb; size_dict={'a': 2, 'b': 12, 'c': 3, 'd': 3, 'e': 10, 'f': 2};
i=771; bae,bdacec->d; size_dict={'a': 2, 'b': 4, 'c': 5, 'd': 13, 'e': 10};
i=772; b,adc->ad; size_dict={'a': 7, 'b': 2, 'c': 56, 'd': 7};
i=773; dac,abde->ceb; size_dict={'a': 2, 'b': 4, 'c': 2, 'd': 32, 'e': 10};
i=774; bdfabec,cba->cedf; size_dict={'a': 2, 'b': 2, 'c': 13, 'd': 2, 'e': 21, 'f': 2};
i=775; efbc,aebda->cfad; size_dict={'a': 4, 'b': 3, 'c': 5, 'd': 3, 'e': 13, 'f': 2};
i=776; efgabcd,fd->gceb; size_dict={'a': 2, 'b': 7, 'c': 2, 'd': 8, 'e': 4, 'f': 2, 'g': 3};
i=777; cdba,dabedc->e; size_dict={'a': 9, 'b': 2, 'c': 7, 'd': 3, 'e': 14};
i=778; abec,ebd->cad; size_dict={'a': 7, 'b': 8, 'c': 3, 'd': 3, 'e': 11};
i=779; fhgab,dgiefcf->cbhaie; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 4, 'h': 4, 'i': 3};
i=780; ehcfa,fgbeda->cbhgf; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 4, 'h': 4};
i=781; cab,->bc; size_dict={'a': 18, 'b': 2, 'c': 151};
i=782; cebkid,cejgkfbha->agdfihje; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 3, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 3};
i=783; ehgbaijf,kcabfdheig->jkdc; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 5, 'e': 2, 'f': 2, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=784; ficdea,agbefch->dhibg; size_dict={'a': 2, 'b': 5, 'c': 3, 'd': 2, 'e': 4, 'f': 2, 'g': 3, 'h': 2, 'i': 2};
i=785; c,bad->bdc; size_dict={'a': 6, 'b': 4, 'c': 17, 'd': 13};
i=786; gdehfjbika,kgjcdhbee->aif; size_dict={'a': 2, 'b': 2, 'c': 2, 'd': 2, 'e': 3, 'f': 3, 'g': 2, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=787; bhcgakdefj,cekbig->dijahf; size_dict={'a': 3, 'b': 2, 'c': 2, 'd': 2, 'e': 2, 'f': 2, 'g': 3, 'h': 2, 'i': 2, 'j': 2, 'k': 2};
i=788; aed,fdbfec->cba; size_dict={'a': 5, 'b': 4, 'c': 2, 'd': 2, 'e': 9, 'f': 7};
i=789; gadhcb,bef->dcfgae; size_dict={'a': 4, 'b': 6, 'c': 5, 'd': 2, 'e': 4, 'f': 2, 'g': 2, 'h': 2};
i=790; bdfce,eca->fdb; size_dict={'a': 2, 'b': 8, 'c': 7, 'd': 2, 'e': 4, 'f': 8};
i=791; cbed,ceba->da; size_dict={'a': 10, 'b': 2, 'c': 2, 'd': 10, 'e': 13};
i=792; fhgcab,aefcd->gbhed; size_dict={'a': 2, 'b': 2, 'c': 5, 'd': 4, 'e': 2, 'f': 2, 'g': 4, 'h': 4};
i=793; eacbf,daef->acbf; size_dict={'a': 3, 'b': 2, 'c': 7, 'd': 8, 'e': 4, 'f': 6};
i=794; dfce,adb->ebca; size_dict={'a': 9, 'b': 5, 'c': 2, 'd': 8, 'e': 5, 'f': 2};
i=795; cgbe,aefdc->dagbf; size_dict={'a': 2, 'b': 2, 'c': 3, 'd': 7, 'e': 7, 'f': 2, 'g': 5};
i=796; ehbdc,edahcbfg->acg; size_dict={'a': 6, 'b': 7, 'c': 3, 'd': 2, 'e': 2, 'f': 2, 'g': 4, 'h': 2};
i=797; edf,febca->dbca; size_dict={'a': 7, 'b': 2, 'c': 2, 'd': 14, 'e': 10, 'f': 2};
